name,year_first_produced
1V1003 command and observation vehicle (for 1V198 artillery fire control system),
9T452 transporter-loader (for BM-27 Uragan MRL),1959
TZM 9T234-2 transporter-loader (for BM-30 Smerch),1967
TZM-T reloader vehicle (for TOS-1A),1967
PRP-4(M) artillery reconnaissance vehicle,
PRP-4A Argus artillery reconnaissance vehicle,
82mm 2B9 Vasilek automatic gun mortar,1970
100mm MT-12 anti-tank gun,1970
120mm 2B16 Nona-K gun mortar,1981
122mm D-30 howitzer,1960
152mm D-20 gun-howitzer,1950
152mm 2A65 Msta-B howitzer,1987
152mm 2A36 Giatsint-B field-gun,1975
Unknown towed artillery,
120mm 2S9 Nona,1981
120mm 2S23 Nona-SVK,1981
120mm 2S34 Khosta,
122mm 2S1 Gvozdika,1972
152mm 2S3(M) Akatsiya,1971
152mm 2S5 Giatsint-S,1978
152mm 2S19 Msta-S,1989
152mm 2S33 Msta-SM2,2013
203mm 2S7(M) Pion,1976
240mm 2S4 Tyulpan,1972
Unknown SPG,
122mm BM-21 Grad,1963
122mm 9P138 Grad-1,1963
122mm 2B26 Grad-K,
122mm 2B17 Tornado-G,2003
MT-LB with 140mm Ogon-18 MRLS,1970
220mm TOS-1A,1988
220mm BM-27 Uragan,1975
300mm BM-30 Smerch,1989
Unknown MRL,
23mm ZU-23-2,1960
57mm AZP S-60,1950
BTR-ZD Skrezhet,1974
ZSU-23-4 Shilka,1957
2K22M1 Tunguska,1982
9K33 Osa,1971
9K35 Strela-10,1976
9A310M1-2 TELAR (for Buk-M1-2),1980
9A39M1-2 TEL (for Buk-M1-2),1980
9A317 TELAR (for Buk-M2),1980
9A316 TEL (for Buk-M2),1980
Unknown Buk M1-2,1980
9A317M TELAR (for Buk-M3),2013
9A330 TLAR (for 9K330 Tor),1986
9A331 TLAR (for 9K331 Tor-M1),1986
9A331M TLAR (for 9K332 Tor-M2),2007
9K331MDT TLAR Tor-M2DT,2018
Unknown Tor TLAR,1980
Pantsir-S1,2012
5P85SD,
9A83M2 TELAR (for S-300V4),1978
9A84-2 TEL (for S-300V4),1978
5P85T2 (launcher for S-400),2007
5P85SM2-01 (launcher for S-400),2007
9S36 (for Buk-M2),
9S18 Kupol (for Buk-M1-2),1980
9S18М1(-2) (for Buk-M2),1980
9S18М1(-3) (for Buk-M3),2013
9S36M (for Buk-M3),2013
9S32M1 (for S-300V),1978
9S19M2 (for S-300V),1978
92N6A (for S-400),2007
PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10),1976
Repeynik portable counter-UAS radar,
Fara ground surveillance radar,
1L271 Aistyonok portable mortar locating reconnaissance radar,
Sobolyatnik 1L277 portable ground reconnaissance radar,
SNAR-10M1 battlefield surveillance radar,
1L219 (for Zoopark counter-battery radar complex),1989
1L259 (for Zoopark-1 counter-battery radar complex),1989
1L261 (for 1L260 Zoopark-1M counter-battery radar complex),1989
P-18T surveillance radar,1970
P-18-2 2D VHF surveillance radar,
48Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar,
1L119 Nebo-SVU VHF multi-functional radar,
55Zh6U Nebo-U air surveillance radar,
1RL239 Ark-1(M) counter-battery radar,
Predel coastal defence radar,
Unknown radar,
R-325BMV jamming station,
R-330BMV and R-394BMV Borisoglebsk-2B,
R-330ZH Zhitel,
R-330M1P Diabazol,
R-934UM,
R-934B 'Sinitsa' automated jamming station,
1L262E Rtut-BM,
Torn(-MDM),
Silok-01 counter-UAV system,
Strizh-3 counter-UAV system,
1RL257 Krasukha-4 (command post),
Leer-2 electronic warfare system,
Leer-3 electronic warfare system,
RLK-MC-A (ROSC-1) counter-UAV system,
RB-636AM2 Svet-KU EW system,
Palantin EW system,
RP-377LA Lorandit,
Unknown EW system,
MiG-31BM fighter aircraft,2008
Su-30SM multirole aircraft,2000
Su-35S multirole aircraft,2008
Su-25 close air support aircraft,1978
Su-24M strike aircraft,1979
Su-24MR tactical reconnaissance aircraft,1980
Su-24M,1979
Su-34 strike aircraft,1990
Su-34M strike aircraft,2020
Tu-22M3 strategic bomber,1983
Tu-95MS strategic bomber,1981
Il-22 airborne command post,1957
An-26 transport aircraft,1970
Il-76 transport aircraft,1976
