id,name,type,status,day,month,year,manufacturer,manufacturer_abbr,user,user_abbr,proof,year_first_produced,directproof,fulldate
29,T-62M,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://postimg.cc/fy6S2qj0,1983,https://i.postimg.cc/fy6S2qj0/1010-2x-t62m-destr.jpg,08.12.2022
30,T-62M,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://postimg.cc/fy6S2qj0,1983,https://i.postimg.cc/fy6S2qj0/1010-2x-t62m-destr.jpg,08.12.2022
31,T-62M,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://postimg.cc/2yRMkB97,1983,https://i.postimg.cc/2yRMkB97/55h.png,14/10/2022|18/12/2022|Shot on One|Shoton OnePlus|By Valera Nik
32,T-62M,Tanks,destroyed,16,11,22,Soviet Union,USSR,Russia,RU,https://postimg.cc/gkKRT9Sn,1983,https://i.postimg.cc/gkKRT9Sn/1014-t62m-destr-16-11-22.jpg,16/11/2022
33,T-62M,Tanks,destroyed,8,1,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/cLQ5SJcX,1983,https://i.postimg.cc/cLQ5SJcX/1005-t62m-destr-08-01-23.jpg,8/1/2023
34,T-62M,Tanks,destroyed,7,1,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/Dy4Mx64V,1983,https://i.postimg.cc/Dy4Mx64V/1038-t62m-destr-07-01-23.jpg,7/1/2023
35,T-62M,Tanks,destroyed,27,1,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/N0DghMNG,1983,https://i.postimg.cc/N0DghMNG/1005-t62m-destr-27-01-23.jpg,27/1/2023
36,T-62M,Tanks,destroyed,20,3,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/NFFTSxhD,1983,https://i.postimg.cc/NFFTSxhD/1025-t62m-destr-20-03-23.jpg,20/3/2023
37,T-62M,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1638590667323580425,1983,https://twitter.com/UAWeapons/status/1638590667323580425,
38,T-62M,Tanks,destroyed,26,5,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/KvkckFr1,1983,https://i.postimg.cc/KvkckFr1/1011-T-62-M-destr-26-05-23.jpg,26/5/2023
